time_s,imu_id,qw,qx,qy,qz,gyro_x_dps,gyro_y_dps,gyro_z_dps,acc_x_ms2,acc_y_ms2,acc_z_ms2,mag_x_uT,mag_y_uT,mag_z_uT
0,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0698583048616294,-0.109517702524576,-0.00123241787178641,0.08,-0.04,-0.09,-49.25,-162.0625,1.5625
0.016,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0455155740101968,0.194227535010522,-0.00492888404823992,0.08,-0.05,-0.08,-49.5625,-161.6875,2.1875
0.032,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.134479685470003,0.00516062725769867,-0.0138411557439206,0.09,-0.06,-0.1,-49.5625,-161.6875,2.1875
0.048,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0651099964803028,-0.109513323506408,-0.00114989914583349,0.08,-0.02,-0.09,-49.5625,-161.6875,2.1875
0.064,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0651099964803028,0.109513323506408,0.00114989914583349,0.09,-0.03,-0.08,-49.5625,-162.875,0.875
0.08,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0847044189504087,0.0247991120022946,0.00722868233990689,0.08,-0.04,-0.1,-49.5625,-162.875,0.875
0.096,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0301808440494881,0.0547544722441203,0.000533690209940283,0.1,-0.05,-0.1,-49.5625,-162.875,0.875
0.112,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.00474830838132663,-4.37901816770463e-06,-8.25187259529199e-05,0.09,-0.04,-0.08,-49.5625,-162.0625,1.6875
0.128,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0857942237671376,0.164259037714193,0.00151855190386793,0.08,-0.04,-0.09,-49.5625,-162.0625,1.6875
0.144,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0545235749009206,-0.0299553602418256,0.00669499212996661,0.09,-0.04,-0.09,-49.5625,-162.0625,1.6875
0.16,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.209086298712959,0.104361454285045,0.0151560923416599,0.09,-0.05,-0.11,-49.25,-162.0625,1.1875
0.176,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0788663057523532,0.114665192727771,-0.0128562940499929,0.08,-0.03,-0.06,-49.25,-162.0625,1.1875
